,name,reviews,link
0,Adria Airways,595,https://www.tripadvisor.com/Airline_Review-d8728984-Reviews-Adria-Airways
1,Advanced Air,1,https://www.tripadvisor.com/Airline_Review-d17550095-Reviews-Advanced-Air
2,Aegean Airlines,9739,https://www.tripadvisor.com/Airline_Review-d8728985-Reviews-Aegean-Airlines
3,Aer Lingus,10106,https://www.tripadvisor.com/Airline_Review-d8728986-Reviews-Aer-Lingus
4,Aero Mongolia,11,https://www.tripadvisor.com/Airline_Review-d13804006-Reviews-Aero-Mongolia
5,Aeroflot,13280,https://www.tripadvisor.com/Airline_Review-d8728987-Reviews-Aeroflot
6,Aerogaviota,25,https://www.tripadvisor.com/Airline_Review-d11831132-Reviews-Aerogaviota
7,Aerolinea de Antioquia,14,https://www.tripadvisor.com/Airline_Review-d11831129-Reviews-Aerolinea-De-Antioquia
8,Aerolineas Argentinas,13294,https://www.tripadvisor.com/Airline_Review-d8728988-Reviews-Aerolineas-Argentinas
9,Aeromar,312,https://www.tripadvisor.com/Airline_Review-d8728874-Reviews-Aeromar
10,Aeromexico,8920,https://www.tripadvisor.com/Airline_Review-d8728989-Reviews-Aeromexico
11,Africa World Airlines,17,https://www.tripadvisor.com/Airline_Review-d15052985-Reviews-Africa-World-Airlines
12,African Express Airways,16,https://www.tripadvisor.com/Airline_Review-d8728990-Reviews-African-Express-Airways
13,Afriqiyah Airways,10,https://www.tripadvisor.com/Airline_Review-d8728991-Reviews-Afriqiyah-Airways
14,Aigle Azur,665,https://www.tripadvisor.com/Airline_Review-d8728992-Reviews-Aigle-Azur
15,Air Algerie,395,https://www.tripadvisor.com/Airline_Review-d8728993-Reviews-Air-Algerie
16,Air Antilles,138,https://www.tripadvisor.com/Airline_Review-d11831112-Reviews-Air-Antilles
17,Air Arabia,1495,https://www.tripadvisor.com/Airline_Review-d8728994-Reviews-Air-Arabia
18,Air Astana,1113,https://www.tripadvisor.com/Airline_Review-d8728936-Reviews-Air-Astana
19,Air Austral,1217,https://www.tripadvisor.com/Airline_Review-d8728995-Reviews-Air-Austral
20,Air Bagan,8,https://www.tripadvisor.com/Airline_Review-d10533085-Reviews-Air-Bagan
21,Air Baltic,13952,https://www.tripadvisor.com/Airline_Review-d8728996-Reviews-Air-Baltic
22,air berlin [no longer operating],4154,https://www.tripadvisor.com/Airline_Review-d8729015-Reviews-Air-Berlin-No-Longer-Operating
23,Air Botswana,88,https://www.tripadvisor.com/Airline_Review-d8728997-Reviews-Air-Botswana
24,Air Burkina,19,https://www.tripadvisor.com/Airline_Review-d8728875-Reviews-Air-Burkina
25,Air Busan,276,https://www.tripadvisor.com/Airline_Review-d10533114-Reviews-Air-Busan
26,Air Cairo,1151,https://www.tripadvisor.com/Airline_Review-d8728938-Reviews-Air-Cairo
27,Air Canada,22183,https://www.tripadvisor.com/Airline_Review-d8728998-Reviews-Air-Canada
28,Air Canada Rouge,6581,https://www.tripadvisor.com/Airline_Review-d8808634-Reviews-Air-Canada-Rouge
29,Air Caraibes,2120,https://www.tripadvisor.com/Airline_Review-d8728999-Reviews-Air-Caraibes
30,Air Century,11,https://www.tripadvisor.com/Airline_Review-d14190654-Reviews-Air-Century
31,Air Changan,1,https://www.tripadvisor.com/Airline_Review-d13803998-Reviews-Air-Changan
32,Air Chathams,72,https://www.tripadvisor.com/Airline_Review-d10816897-Reviews-Air-Chathams
33,Air China,5125,https://www.tripadvisor.com/Airline_Review-d8729000-Reviews-Air-China
34,Air Choice One,42,https://www.tripadvisor.com/Airline_Review-d11831102-Reviews-Air-Choice-One
35,Air Corsica,460,https://www.tripadvisor.com/Airline_Review-d10816886-Reviews-Air-Corsica
36,Air Costa (no longer operating),37,https://www.tripadvisor.com/Airline_Review-d10533082-Reviews-Air-Costa-No-Longer-Operating
37,Air Cote d Ivoire,54,https://www.tripadvisor.com/Airline_Review-d12665304-Reviews-Air-Cote-D-Ivoire
38,Air Do,115,https://www.tripadvisor.com/Airline_Review-d12280238-Reviews-Air-Do
39,Air Dolomiti,811,https://www.tripadvisor.com/Airline_Review-d8729001-Reviews-Air-Dolomiti
40,Air Europa,8426,https://www.tripadvisor.com/Airline_Review-d8729002-Reviews-Air-Europa
41,Air Flamenco,28,https://www.tripadvisor.com/Airline_Review-d10533083-Reviews-Air-Flamenco
42,Air France,27753,https://www.tripadvisor.com/Airline_Review-d8729003-Reviews-Air-France
43,Air Greenland,126,https://www.tripadvisor.com/Airline_Review-d8728902-Reviews-Air-Greenland
44,Air Guilin,2,https://www.tripadvisor.com/Airline_Review-d13804003-Reviews-Air-Guilin
45,Air Iceland Connect (**this is not Icelandair**),182,https://www.tripadvisor.com/Airline_Review-d10533124-Reviews-Air-Iceland-Connect-This-Is-Not-Icelandair
46,Air India,6610,https://www.tripadvisor.com/Airline_Review-d8729004-Reviews-Air-India
47,Air India Express,333,https://www.tripadvisor.com/Airline_Review-d8729194-Reviews-Air-India-Express
