,name,reviews,link,ComUrl
0,Adria Airways,597,https://www.tripadvisor.com/Airline_Review-d8728984-Reviews-Adria-Airways,not now
1,Advanced Air,1,https://www.tripadvisor.com/Airline_Review-d17550095-Reviews-Advanced-Air,not now
2,Aegean Airlines,9777,https://www.tripadvisor.com/Airline_Review-d8728985-Reviews-Aegean-Airlines,not now
3,Aer Lingus,10156,https://www.tripadvisor.com/Airline_Review-d8728986-Reviews-Aer-Lingus,not now
4,Aero Mongolia,12,https://www.tripadvisor.com/Airline_Review-d13804006-Reviews-Aero-Mongolia,not now
5,Aeroflot,13337,https://www.tripadvisor.com/Airline_Review-d8728987-Reviews-Aeroflot,not now
6,Aerogaviota,25,https://www.tripadvisor.com/Airline_Review-d11831132-Reviews-Aerogaviota,not now
7,Aerolinea de Antioquia,14,https://www.tripadvisor.com/Airline_Review-d11831129-Reviews-Aerolinea-De-Antioquia,not now
8,Aerolineas Argentinas,13328,https://www.tripadvisor.com/Airline_Review-d8728988-Reviews-Aerolineas-Argentinas,not now
9,Aeromar,312,https://www.tripadvisor.com/Airline_Review-d8728874-Reviews-Aeromar,not now
10,Aeromexico,8941,https://www.tripadvisor.com/Airline_Review-d8728989-Reviews-Aeromexico,not now
11,Africa World Airlines,17,https://www.tripadvisor.com/Airline_Review-d15052985-Reviews-Africa-World-Airlines,not now
12,African Express Airways,16,https://www.tripadvisor.com/Airline_Review-d8728990-Reviews-African-Express-Airways,not now
13,Afriqiyah Airways,10,https://www.tripadvisor.com/Airline_Review-d8728991-Reviews-Afriqiyah-Airways,not now
14,Aigle Azur,669,https://www.tripadvisor.com/Airline_Review-d8728992-Reviews-Aigle-Azur,not now
15,Air Algerie,396,https://www.tripadvisor.com/Airline_Review-d8728993-Reviews-Air-Algerie,not now
16,Air Antilles,138,https://www.tripadvisor.com/Airline_Review-d11831112-Reviews-Air-Antilles,not now
17,Air Arabia,1503,https://www.tripadvisor.com/Airline_Review-d8728994-Reviews-Air-Arabia,not now
18,Air Astana,1117,https://www.tripadvisor.com/Airline_Review-d8728936-Reviews-Air-Astana,not now
19,Air Austral,1219,https://www.tripadvisor.com/Airline_Review-d8728995-Reviews-Air-Austral,not now
20,Air Bagan,8,https://www.tripadvisor.com/Airline_Review-d10533085-Reviews-Air-Bagan,not now
21,Air Baltic,14060,https://www.tripadvisor.com/Airline_Review-d8728996-Reviews-Air-Baltic,not now
22,air berlin [no longer operating],4154,https://www.tripadvisor.com/Airline_Review-d8729015-Reviews-Air-Berlin-No-Longer-Operating,not now
23,Air Botswana,91,https://www.tripadvisor.com/Airline_Review-d8728997-Reviews-Air-Botswana,not now
24,Air Burkina,19,https://www.tripadvisor.com/Airline_Review-d8728875-Reviews-Air-Burkina,not now
25,Air Busan,280,https://www.tripadvisor.com/Airline_Review-d10533114-Reviews-Air-Busan,not now
26,Air Cairo,1158,https://www.tripadvisor.com/Airline_Review-d8728938-Reviews-Air-Cairo,not now
27,Air Canada,22271,https://www.tripadvisor.com/Airline_Review-d8728998-Reviews-Air-Canada,not now
28,Air Canada Rouge,6609,https://www.tripadvisor.com/Airline_Review-d8808634-Reviews-Air-Canada-Rouge,not now
29,Air Caraibes,2126,https://www.tripadvisor.com/Airline_Review-d8728999-Reviews-Air-Caraibes,not now
30,Air Century,11,https://www.tripadvisor.com/Airline_Review-d14190654-Reviews-Air-Century,not now
31,Air Changan,1,https://www.tripadvisor.com/Airline_Review-d13803998-Reviews-Air-Changan,not now
32,Air Chathams,72,https://www.tripadvisor.com/Airline_Review-d10816897-Reviews-Air-Chathams,not now
33,Air China,5141,https://www.tripadvisor.com/Airline_Review-d8729000-Reviews-Air-China,not now
34,Air Choice One,42,https://www.tripadvisor.com/Airline_Review-d11831102-Reviews-Air-Choice-One,not now
35,Air Corsica,465,https://www.tripadvisor.com/Airline_Review-d10816886-Reviews-Air-Corsica,not now
36,Air Costa (no longer operating),37,https://www.tripadvisor.com/Airline_Review-d10533082-Reviews-Air-Costa-No-Longer-Operating,not now
37,Air Cote d Ivoire,54,https://www.tripadvisor.com/Airline_Review-d12665304-Reviews-Air-Cote-D-Ivoire,not now
38,Air Do,116,https://www.tripadvisor.com/Airline_Review-d12280238-Reviews-Air-Do,not now
39,Air Dolomiti,814,https://www.tripadvisor.com/Airline_Review-d8729001-Reviews-Air-Dolomiti,not now
40,Air Europa,8453,https://www.tripadvisor.com/Airline_Review-d8729002-Reviews-Air-Europa,not now
41,Air Flamenco,28,https://www.tripadvisor.com/Airline_Review-d10533083-Reviews-Air-Flamenco,not now
42,Air France,27828,https://www.tripadvisor.com/Airline_Review-d8729003-Reviews-Air-France,not now
43,Air Greenland,126,https://www.tripadvisor.com/Airline_Review-d8728902-Reviews-Air-Greenland,not now
44,Air Guilin,2,https://www.tripadvisor.com/Airline_Review-d13804003-Reviews-Air-Guilin,not now
45,Air Iceland Connect (**this is not Icelandair**),182,https://www.tripadvisor.com/Airline_Review-d10533124-Reviews-Air-Iceland-Connect-This-Is-Not-Icelandair,not now
46,Air India,6621,https://www.tripadvisor.com/Airline_Review-d8729004-Reviews-Air-India,not now
47,Air India Express,333,https://www.tripadvisor.com/Airline_Review-d8729194-Reviews-Air-India-Express,not now
48,Air Italy,3168,https://www.tripadvisor.com/Airline_Review-d8728886-Reviews-Air-Italy,not now
49,Air Juan,88,https://www.tripadvisor.com/Airline_Review-d14190680-Reviews-Air-Juan,not now
50,Air KBZ,326,https://www.tripadvisor.com/Airline_Review-d10533084-Reviews-Air-KBZ,not now
