,index,companyName,DOW,pred
1284,1514,Air New Zealand,2018-12,0.23640731075294574
7612,9329,Icelandair,2016-12,0.23640731075294574
3009,3653,Avianca,2017-03,0.23640731075294574
7526,9243,Icelandair,2013-06,0.23640731075294574
7616,9333,Icelandair,2017-11,0.23640731075294574
3010,3654,Avianca,2017-04,0.23640731075294574
15942,21515,,2011-12,0.23640731075294574
3015,3659,Avianca,2010-05,0.23640731075294574
15899,21472,,2013-06,0.23640731075294574
3020,3664,Avianca,2010-12,0.23640731075294574
7521,9238,Icelandair,2019-03,0.23640731075294574
7622,9339,Icelandair,2018-06,0.23640731075294574
15937,21510,,2011-07,0.23640731075294574
3038,3682,Avianca,2012-11,0.23640731075294574
3045,3689,Avianca,2013-07,0.23640731075294574
3047,3691,Avianca,2013-09,0.23640731075294574
3054,3698,Avianca,2014-07,0.23640731075294574
3055,3699,Avianca,2014-08,0.23640731075294574
15934,21507,,2011-04,0.23640731075294574
3056,3700,Avianca,2014-09,0.23640731075294574
15905,21478,,2014-01,0.23640731075294574
3059,3703,Avianca,2015-02,0.23640731075294574
3064,3708,Avianca,2016-12,0.23640731075294574
3066,3710,Avianca,2017-10,0.23640731075294574
15928,21501,,2017-06,0.23640731075294574
3068,3712,Avianca,2017-12,0.23640731075294574
3070,3714,Avianca,2018-03,0.23640731075294574
3007,3651,Avianca,2017-01,0.23640731075294574
3011,3655,Avianca,2017-05,0.23640731075294574
2997,3641,Avianca,2015-11,0.23640731075294574
1228,1458,Air New Zealand,2014-09,0.23640731075294574
1278,1508,Air New Zealand,2017-10,0.23640731075294574
15965,21538,,2016-02,0.23640731075294574
1273,1503,Air New Zealand,2013-05,0.23640731075294574
1263,1493,Air New Zealand,2017-08,0.23640731075294574
1258,1488,Air New Zealand,2017-03,0.23640731075294574
7552,9269,Icelandair,2018-03,0.23640731075294574
1253,1483,Air New Zealand,2016-10,0.23640731075294574
1248,1478,Air New Zealand,2016-05,0.23640731075294574
2996,3640,Avianca,2015-10,0.23640731075294574
7547,9264,Icelandair,2017-05,0.23640731075294574
1246,1476,Air New Zealand,2016-03,0.23640731075294574
1233,1463,Air New Zealand,2015-02,0.23640731075294574
7582,9299,Icelandair,2012-11,0.23640731075294574
2970,3614,Avianca,2018-05,0.23640731075294574
1216,1446,Air New Zealand,2013-06,0.23640731075294574
2985,3629,Avianca,2013-06,0.23640731075294574
7594,9311,Icelandair,2014-02,0.23640731075294574
7529,9246,Icelandair,2014-04,0.23640731075294574
2981,3625,Avianca,2019-04,0.23640731075294574
7537,9254,Icelandair,2015-09,0.23640731075294574
7528,9245,Icelandair,2014-01,0.23640731075294574
7598,9315,Icelandair,2014-07,0.23640731075294574
7540,9257,Icelandair,2016-05,0.23640731075294574
15955,21528,,2013-02,0.23640731075294574
1221,1451,Air New Zealand,2014-01,0.23640731075294574
9066,11384,LATAM Airlines,2016-01,0.23584469308806869
9085,11403,LATAM Airlines,2016-12,0.23584469308806869
9071,11389,LATAM Airlines,2016-06,0.23584469308806869
9063,11381,LATAM Airlines,2015-06,0.23584469308806869
9049,11367,LATAM Airlines,2018-10,0.23584469308806869
6853,8554,Gulf Air,2018-12,0.23581881970825755
6869,8570,Gulf Air,2010-05,0.23581881970825755
6866,8567,Gulf Air,2010-01,0.23581881970825755
6859,8560,Gulf Air,2019-06,0.23581881970825755
6105,7660,Fiji Airways,2012-11,0.23581881970825755
6825,8526,Gulf Air,2016-08,0.23581881970825755
6108,7663,Fiji Airways,2013-03,0.23581881970825755
6874,8575,Gulf Air,2010-11,0.23581881970825755
6872,8573,Gulf Air,2010-09,0.23581881970825755
6844,8545,Gulf Air,2018-03,0.23581881970825755
6075,7630,Fiji Airways,2016-06,0.23581881970825755
6912,8613,Gulf Air,2014-05,0.23581881970825755
6012,7567,Fiji Airways,2017-06,0.23581881970825755
6041,7596,Fiji Airways,2013-08,0.23581881970825755
6013,7568,Fiji Airways,2017-07,0.23581881970825755
6008,7563,Fiji Airways,2017-02,0.23581881970825755
6042,7597,Fiji Airways,2013-09,0.23581881970825755
6019,7574,Fiji Airways,2018-01,0.23581881970825755
6931,8632,Gulf Air,2016-02,0.23581881970825755
6929,8630,Gulf Air,2015-11,0.23581881970825755
6052,7607,Fiji Airways,2014-07,0.23581881970825755
6053,7608,Fiji Airways,2014-08,0.23581881970825755
6922,8623,Gulf Air,2015-04,0.23581881970825755
6918,8619,Gulf Air,2014-11,0.23581881970825755
